,5-SEQLEN-1-FUTLEN-81306\validation,5-SEQLEN-1-FUTLEN-81398\validation,5-SEQLEN-1-FUTLEN-81490\validation,5-SEQLEN-1-FUTLEN-81582\validation,5-SEQLEN-1-FUTLEN-81733\validation,5-SEQLEN-1-FUTLEN-81851\validation,5-SEQLEN-1-FUTLEN-81962\validation,5-SEQLEN-1-FUTLEN-82134\validation,5-SEQLEN-1-FUTLEN-82280\validation,5-SEQLEN-1-FUTLEN-82405\validation,5-SEQLEN-1-FUTLEN-82559\validation,5-SEQLEN-1-FUTLEN-82724\validation,5-SEQLEN-1-FUTLEN-82852\validation,5-SEQLEN-1-FUTLEN-83005\validation,5-SEQLEN-1-FUTLEN-83182\validation,5-SEQLEN-1-FUTLEN-83355\validation,5-SEQLEN-1-FUTLEN-83506\validation,5-SEQLEN-1-FUTLEN-83669\validation,5-SEQLEN-1-FUTLEN-83823\validation,5-SEQLEN-1-FUTLEN-83957\validation,5-SEQLEN-1-FUTLEN-84097\validation,5-SEQLEN-1-FUTLEN-84230\validation,5-SEQLEN-1-FUTLEN-84359\validation,5-SEQLEN-1-FUTLEN-84505\validation,5-SEQLEN-1-FUTLEN-84651\validation,5-SEQLEN-1-FUTLEN-84792\validation,5-SEQLEN-1-FUTLEN-84946\validation,5-SEQLEN-1-FUTLEN-85092\validation,5-SEQLEN-1-FUTLEN-85215\validation,5-SEQLEN-1-FUTLEN-85345\validation,5-SEQLEN-1-FUTLEN-85474\validation,5-SEQLEN-1-FUTLEN-85598\validation,5-SEQLEN-1-FUTLEN-85730\validation,5-SEQLEN-1-FUTLEN-85859\validation,5-SEQLEN-1-FUTLEN-85983\validation,5-SEQLEN-1-FUTLEN-86124\validation,5-SEQLEN-1-FUTLEN-86263\validation,5-SEQLEN-1-FUTLEN-86396\validation,5-SEQLEN-1-FUTLEN-86537\validation,5-SEQLEN-1-FUTLEN-86689\validation,5-SEQLEN-1-FUTLEN-86835\validation,5-SEQLEN-1-FUTLEN-86989\validation,5-SEQLEN-1-FUTLEN-87143\validation,5-SEQLEN-1-FUTLEN-87290\validation,5-SEQLEN-1-FUTLEN-87447\validation,5-SEQLEN-1-FUTLEN-87630\validation,5-SEQLEN-1-FUTLEN-87806\validation,5-SEQLEN-1-FUTLEN-87993\validation,5-SEQLEN-1-FUTLEN-88178\validation,5-SEQLEN-1-FUTLEN-88354\validation,5-SEQLEN-1-FUTLEN-88539\validation,5-SEQLEN-1-FUTLEN-88726\validation,5-SEQLEN-1-FUTLEN-88904\validation,5-SEQLEN-1-FUTLEN-89091\validation,5-SEQLEN-1-FUTLEN-89273\validation,5-SEQLEN-1-FUTLEN-89449\validation,5-SEQLEN-1-FUTLEN-89633\validation,5-SEQLEN-1-FUTLEN-89818\validation,5-SEQLEN-1-FUTLEN-89995\validation,5-SEQLEN-1-FUTLEN-90182\validation,5-SEQLEN-1-FUTLEN-90345\validation,5-SEQLEN-1-FUTLEN-90493\validation,5-SEQLEN-1-FUTLEN-90649\validation,5-SEQLEN-1-FUTLEN-90804\validation,5-SEQLEN-1-FUTLEN-90956\validation,5-SEQLEN-1-FUTLEN-91111\validation,5-SEQLEN-1-FUTLEN-91266\validation,5-SEQLEN-1-FUTLEN-91412\validation,5-SEQLEN-1-FUTLEN-91566\validation,5-SEQLEN-1-FUTLEN-91741\validation,5-SEQLEN-1-FUTLEN-91906\validation,5-SEQLEN-1-FUTLEN-92085\validation,5-SEQLEN-1-FUTLEN-92271\validation,5-SEQLEN-1-FUTLEN-92445\validation,5-SEQLEN-1-FUTLEN-92626\validation,5-SEQLEN-1-FUTLEN-92822\validation,5-SEQLEN-1-FUTLEN-93007\validation,5-SEQLEN-1-FUTLEN-93202\validation,5-SEQLEN-1-FUTLEN-93395\validation,5-SEQLEN-1-FUTLEN-93577\validation,5-SEQLEN-1-FUTLEN-93770\validation,5-SEQLEN-1-FUTLEN-93962\validation,5-SEQLEN-1-FUTLEN-94142\validation,5-SEQLEN-1-FUTLEN-94333\validation,5-SEQLEN-1-FUTLEN-94525\validation,5-SEQLEN-1-FUTLEN-94712\validation,5-SEQLEN-1-FUTLEN-94908\validation,5-SEQLEN-1-FUTLEN-95106\validation
33,0.661290348,0.483870953,0.59677422,0.419354826,0.59677422,0.483870953,0.516129017,0.516129017,0.516129017,0.516129017,0.483870953,0.45161289,0.516129017,0.5,0.435483873,0.467741936,0.403225809,0.403225809,0.5,0.5,0.45161289,0.387096763,0.419354826,0.467741936,0.516129017,0.467741936,0.467741936,0.59677422,0.467741936,0.403225809,0.5,0.483870953,0.403225809,0.467741936,0.435483873,0.435483873,0.5,0.532258093,0.564516127,0.435483873,0.483870953,0.435483873,0.564516127,0.435483873,0.435483873,0.580645144,0.516129017,0.483870953,0.532258093,0.45161289,0.580645144,0.467741936,0.516129017,0.564516127,0.45161289,0.564516127,0.403225809,0.467741936,0.45161289,0.54838711,0.5,0.45161289,0.435483873,0.45161289,0.483870953,0.483870953,0.564516127,0.435483873,0.467741936,0.5,0.435483873,0.54838711,0.564516127,0.580645144,0.45161289,0.467741936,0.387096763,0.483870953,0.516129017,0.467741936,0.435483873,0.516129017,0.5,0.532258093,0.59677422,0.532258093,0.54838711,0.564516127
34,0.59677422,0.45161289,0.580645144,0.435483873,0.629032254,0.467741936,0.54838711,0.516129017,0.532258093,0.483870953,0.5,0.45161289,0.516129017,0.54838711,0.435483873,0.467741936,0.419354826,0.435483873,0.5,0.5,0.483870953,0.5,0.435483873,0.483870953,0.532258093,0.483870953,0.45161289,0.516129017,0.483870953,0.419354826,0.516129017,0.5,0.467741936,0.516129017,0.419354826,0.435483873,0.467741936,0.5,0.54838711,0.45161289,0.516129017,0.45161289,0.580645144,0.45161289,0.483870953,0.580645144,0.483870953,0.516129017,0.580645144,0.419354826,0.54838711,0.45161289,0.516129017,0.564516127,0.483870953,0.532258093,0.387096763,0.467741936,0.419354826,0.532258093,0.483870953,0.45161289,0.45161289,0.387096763,0.516129017,0.467741936,0.59677422,0.45161289,0.483870953,0.516129017,0.45161289,0.54838711,0.532258093,0.612903237,0.483870953,0.532258093,0.419354826,0.483870953,0.483870953,0.45161289,0.435483873,0.532258093,0.516129017,0.516129017,0.54838711,0.483870953,0.516129017,0.564516127
35,0.612903237,0.5,0.580645144,0.435483873,0.564516127,0.5,0.5,0.532258093,0.5,0.483870953,0.419354826,0.467741936,0.45161289,0.483870953,0.419354826,0.54838711,0.435483873,0.435483873,0.483870953,0.5,0.483870953,0.5,0.387096763,0.467741936,0.5,0.467741936,0.435483873,0.483870953,0.5,0.45161289,0.516129017,0.483870953,0.403225809,0.516129017,0.403225809,0.419354826,0.483870953,0.580645144,0.580645144,0.419354826,0.5,0.467741936,0.54838711,0.419354826,0.483870953,0.629032254,0.5,0.483870953,0.580645144,0.419354826,0.564516127,0.467741936,0.516129017,0.564516127,0.467741936,0.59677422,0.435483873,0.467741936,0.419354826,0.580645144,0.5,0.467741936,0.435483873,0.403225809,0.467741936,0.5,0.59677422,0.419354826,0.516129017,0.532258093,0.403225809,0.5,0.483870953,0.516129017,0.5,0.516129017,0.45161289,0.467741936,0.516129017,0.45161289,0.419354826,0.467741936,0.516129017,0.54838711,0.564516127,0.467741936,0.435483873,0.564516127
36,0.612903237,0.435483873,0.59677422,0.45161289,0.45161289,0.483870953,0.516129017,0.532258093,0.532258093,0.483870953,0.5,0.5,0.532258093,0.5,0.435483873,0.5,0.419354826,0.467741936,0.467741936,0.5,0.467741936,0.532258093,0.403225809,0.483870953,0.54838711,0.45161289,0.483870953,0.54838711,0.467741936,0.5,0.532258093,0.467741936,0.403225809,0.516129017,0.467741936,0.435483873,0.467741936,0.580645144,0.54838711,0.467741936,0.532258093,0.54838711,0.54838711,0.403225809,0.483870953,0.612903237,0.532258093,0.5,0.54838711,0.419354826,0.564516127,0.45161289,0.516129017,0.54838711,0.467741936,0.54838711,0.419354826,0.467741936,0.419354826,0.532258093,0.483870953,0.483870953,0.435483873,0.467741936,0.483870953,0.483870953,0.580645144,0.370967746,0.5,0.532258093,0.467741936,0.516129017,0.467741936,0.612903237,0.483870953,0.5,0.419354826,0.45161289,0.580645144,0.483870953,0.483870953,0.483870953,0.516129017,0.516129017,0.54838711,0.467741936,0.5,0.59677422
37,0.645161271,0.483870953,0.564516127,0.435483873,0.516129017,0.483870953,0.483870953,0.5,0.532258093,0.483870953,0.467741936,0.516129017,0.532258093,0.516129017,0.419354826,0.54838711,0.435483873,0.467741936,0.5,0.467741936,0.467741936,0.532258093,0.483870953,0.45161289,0.54838711,0.419354826,0.5,0.516129017,0.387096763,0.483870953,0.483870953,0.467741936,0.387096763,0.516129017,0.435483873,0.403225809,0.483870953,0.564516127,0.612903237,0.467741936,0.516129017,0.516129017,0.564516127,0.45161289,0.5,0.629032254,0.516129017,0.5,0.516129017,0.403225809,0.564516127,0.5,0.5,0.59677422,0.516129017,0.532258093,0.435483873,0.435483873,0.435483873,0.516129017,0.467741936,0.403225809,0.435483873,0.45161289,0.467741936,0.5,0.564516127,0.419354826,0.5,0.516129017,0.45161289,0.5,0.467741936,0.5,0.435483873,0.564516127,0.419354826,0.467741936,0.532258093,0.516129017,0.45161289,0.483870953,0.516129017,0.516129017,0.54838711,0.467741936,0.532258093,0.612903237
38,0.629032254,0.467741936,0.54838711,0.435483873,0.483870953,0.467741936,0.435483873,0.564516127,0.532258093,0.45161289,0.483870953,0.483870953,0.516129017,0.5,0.45161289,0.532258093,0.5,0.483870953,0.612903237,0.387096763,0.467741936,0.467741936,0.5,0.483870953,0.516129017,0.45161289,0.532258093,0.564516127,0.467741936,0.483870953,0.5,0.467741936,0.403225809,0.483870953,0.435483873,0.435483873,0.467741936,0.564516127,0.54838711,0.483870953,0.516129017,0.532258093,0.516129017,0.435483873,0.467741936,0.661290348,0.5,0.483870953,0.467741936,0.45161289,0.59677422,0.5,0.516129017,0.629032254,0.5,0.532258093,0.403225809,0.467741936,0.45161289,0.516129017,0.467741936,0.45161289,0.45161289,0.45161289,0.5,0.467741936,0.59677422,0.403225809,0.467741936,0.467741936,0.467741936,0.516129017,0.467741936,0.564516127,0.467741936,0.532258093,0.338709682,0.435483873,0.516129017,0.435483873,0.5,0.467741936,0.483870953,0.532258093,0.564516127,0.435483873,0.516129017,0.645161271
39,0.612903237,0.419354826,0.5,0.435483873,0.483870953,0.483870953,0.483870953,0.54838711,0.532258093,0.467741936,0.5,0.45161289,0.5,0.483870953,0.45161289,0.5,0.435483873,0.467741936,0.5,0.387096763,0.403225809,0.467741936,0.435483873,0.467741936,0.54838711,0.483870953,0.532258093,0.532258093,0.419354826,0.467741936,0.516129017,0.483870953,0.370967746,0.45161289,0.45161289,0.45161289,0.467741936,0.564516127,0.580645144,0.5,0.516129017,0.45161289,0.54838711,0.435483873,0.467741936,0.661290348,0.483870953,0.516129017,0.483870953,0.370967746,0.629032254,0.5,0.516129017,0.564516127,0.516129017,0.516129017,0.419354826,0.467741936,0.435483873,0.59677422,0.467741936,0.403225809,0.45161289,0.419354826,0.483870953,0.467741936,0.532258093,0.419354826,0.5,0.516129017,0.467741936,0.483870953,0.483870953,0.467741936,0.435483873,0.54838711,0.370967746,0.483870953,0.532258093,0.467741936,0.483870953,0.45161289,0.516129017,0.54838711,0.580645144,0.419354826,0.45161289,0.629032254
40,0.629032254,0.419354826,0.5,0.45161289,0.483870953,0.467741936,0.483870953,0.516129017,0.54838711,0.435483873,0.435483873,0.483870953,0.45161289,0.5,0.483870953,0.54838711,0.467741936,0.467741936,0.5,0.419354826,0.54838711,0.435483873,0.45161289,0.516129017,0.5,0.5,0.5,0.532258093,0.419354826,0.45161289,0.483870953,0.467741936,0.403225809,0.483870953,0.45161289,0.45161289,0.467741936,0.54838711,0.564516127,0.532258093,0.516129017,0.483870953,0.532258093,0.45161289,0.467741936,0.677419364,0.483870953,0.483870953,0.5,0.403225809,0.580645144,0.5,0.516129017,0.45161289,0.5,0.532258093,0.419354826,0.467741936,0.403225809,0.516129017,0.5,0.45161289,0.435483873,0.45161289,0.45161289,0.467741936,0.59677422,0.419354826,0.5,0.516129017,0.467741936,0.516129017,0.45161289,0.5,0.45161289,0.5,0.419354826,0.435483873,0.532258093,0.403225809,0.467741936,0.45161289,0.532258093,0.54838711,0.612903237,0.483870953,0.467741936,0.59677422
41,0.612903237,0.483870953,0.54838711,0.45161289,0.516129017,0.54838711,0.59677422,0.516129017,0.532258093,0.435483873,0.54838711,0.483870953,0.467741936,0.516129017,0.467741936,0.612903237,0.387096763,0.467741936,0.516129017,0.435483873,0.54838711,0.516129017,0.483870953,0.483870953,0.5,0.45161289,0.54838711,0.467741936,0.403225809,0.419354826,0.5,0.483870953,0.354838699,0.516129017,0.435483873,0.419354826,0.467741936,0.532258093,0.580645144,0.467741936,0.467741936,0.516129017,0.516129017,0.467741936,0.483870953,0.629032254,0.483870953,0.483870953,0.516129017,0.419354826,0.532258093,0.483870953,0.5,0.483870953,0.483870953,0.580645144,0.419354826,0.467741936,0.467741936,0.516129017,0.483870953,0.435483873,0.45161289,0.435483873,0.516129017,0.516129017,0.564516127,0.370967746,0.435483873,0.516129017,0.435483873,0.5,0.483870953,0.532258093,0.467741936,0.580645144,0.387096763,0.483870953,0.54838711,0.45161289,0.467741936,0.435483873,0.516129017,0.532258093,0.564516127,0.467741936,0.5,0.629032254
42,0.532258093,0.435483873,0.532258093,0.435483873,0.532258093,0.516129017,0.467741936,0.5,0.532258093,0.45161289,0.467741936,0.467741936,0.516129017,0.516129017,0.467741936,0.532258093,0.403225809,0.419354826,0.516129017,0.5,0.483870953,0.435483873,0.467741936,0.467741936,0.516129017,0.419354826,0.516129017,0.5,0.403225809,0.467741936,0.467741936,0.467741936,0.370967746,0.532258093,0.419354826,0.483870953,0.483870953,0.532258093,0.59677422,0.483870953,0.45161289,0.483870953,0.532258093,0.483870953,0.45161289,0.645161271,0.467741936,0.532258093,0.516129017,0.467741936,0.532258093,0.483870953,0.516129017,0.516129017,0.483870953,0.580645144,0.435483873,0.5,0.467741936,0.516129017,0.516129017,0.5,0.467741936,0.419354826,0.5,0.483870953,0.580645144,0.435483873,0.419354826,0.516129017,0.403225809,0.467741936,0.5,0.5,0.5,0.516129017,0.387096763,0.467741936,0.483870953,0.483870953,0.5,0.45161289,0.516129017,0.564516127,0.612903237,0.467741936,0.5,0.629032254
43,0.645161271,0.45161289,0.59677422,0.419354826,0.54838711,0.532258093,0.5,0.532258093,0.54838711,0.419354826,0.435483873,0.483870953,0.45161289,0.516129017,0.467741936,0.532258093,0.387096763,0.435483873,0.532258093,0.5,0.5,0.419354826,0.435483873,0.467741936,0.532258093,0.435483873,0.467741936,0.532258093,0.45161289,0.435483873,0.467741936,0.467741936,0.387096763,0.483870953,0.45161289,0.387096763,0.483870953,0.532258093,0.54838711,0.5,0.5,0.483870953,0.532258093,0.467741936,0.435483873,0.661290348,0.483870953,0.532258093,0.564516127,0.435483873,0.54838711,0.5,0.516129017,0.580645144,0.483870953,0.516129017,0.419354826,0.45161289,0.467741936,0.516129017,0.516129017,0.45161289,0.435483873,0.419354826,0.516129017,0.467741936,0.59677422,0.403225809,0.45161289,0.5,0.403225809,0.467741936,0.5,0.54838711,0.532258093,0.483870953,0.370967746,0.45161289,0.467741936,0.435483873,0.483870953,0.435483873,0.516129017,0.54838711,0.580645144,0.483870953,0.483870953,0.612903237
44,0.629032254,0.467741936,0.532258093,0.403225809,0.580645144,0.5,0.483870953,0.532258093,0.532258093,0.419354826,0.467741936,0.516129017,0.532258093,0.532258093,0.467741936,0.564516127,0.370967746,0.45161289,0.54838711,0.467741936,0.580645144,0.45161289,0.403225809,0.45161289,0.532258093,0.45161289,0.467741936,0.45161289,0.467741936,0.435483873,0.483870953,0.467741936,0.483870953,0.5,0.5,0.387096763,0.516129017,0.564516127,0.5,0.45161289,0.483870953,0.467741936,0.516129017,0.467741936,0.45161289,0.580645144,0.5,0.516129017,0.516129017,0.467741936,0.580645144,0.467741936,0.54838711,0.564516127,0.5,0.532258093,0.419354826,0.483870953,0.467741936,0.54838711,0.532258093,0.45161289,0.435483873,0.403225809,0.5,0.516129017,0.59677422,0.387096763,0.467741936,0.5,0.45161289,0.5,0.483870953,0.580645144,0.54838711,0.5,0.403225809,0.45161289,0.532258093,0.467741936,0.54838711,0.483870953,0.516129017,0.532258093,0.54838711,0.419354826,0.516129017,0.677419364
45,0.59677422,0.467741936,0.532258093,0.419354826,0.516129017,0.516129017,0.532258093,0.532258093,0.54838711,0.45161289,0.483870953,0.467741936,0.54838711,0.516129017,0.467741936,0.5,0.467741936,0.419354826,0.532258093,0.483870953,0.483870953,0.45161289,0.435483873,0.483870953,0.580645144,0.435483873,0.516129017,0.516129017,0.435483873,0.435483873,0.516129017,0.467741936,0.370967746,0.5,0.435483873,0.435483873,0.467741936,0.5,0.516129017,0.467741936,0.467741936,0.516129017,0.532258093,0.45161289,0.467741936,0.564516127,0.54838711,0.483870953,0.532258093,0.483870953,0.564516127,0.483870953,0.516129017,0.54838711,0.483870953,0.54838711,0.403225809,0.483870953,0.435483873,0.532258093,0.5,0.5,0.435483873,0.45161289,0.45161289,0.5,0.59677422,0.435483873,0.54838711,0.483870953,0.45161289,0.516129017,0.45161289,0.516129017,0.532258093,0.532258093,0.419354826,0.45161289,0.516129017,0.5,0.5,0.483870953,0.5,0.59677422,0.564516127,0.483870953,0.532258093,0.661290348
46,0.629032254,0.45161289,0.532258093,0.403225809,0.580645144,0.5,0.45161289,0.532258093,0.5,0.45161289,0.387096763,0.45161289,0.54838711,0.467741936,0.45161289,0.483870953,0.45161289,0.467741936,0.516129017,0.483870953,0.45161289,0.467741936,0.467741936,0.467741936,0.532258093,0.403225809,0.467741936,0.5,0.467741936,0.45161289,0.5,0.467741936,0.387096763,0.516129017,0.467741936,0.419354826,0.5,0.5,0.580645144,0.516129017,0.516129017,0.516129017,0.516129017,0.45161289,0.467741936,0.580645144,0.5,0.483870953,0.516129017,0.483870953,0.580645144,0.483870953,0.532258093,0.564516127,0.483870953,0.564516127,0.419354826,0.483870953,0.467741936,0.532258093,0.483870953,0.435483873,0.419354826,0.45161289,0.45161289,0.5,0.564516127,0.45161289,0.5,0.467741936,0.403225809,0.5,0.54838711,0.580645144,0.532258093,0.580645144,0.419354826,0.467741936,0.5,0.483870953,0.483870953,0.483870953,0.516129017,0.564516127,0.54838711,0.516129017,0.532258093,0.645161271
47,0.59677422,0.45161289,0.532258093,0.419354826,0.483870953,0.54838711,0.516129017,0.532258093,0.45161289,0.45161289,0.45161289,0.467741936,0.516129017,0.54838711,0.435483873,0.483870953,0.403225809,0.45161289,0.516129017,0.483870953,0.483870953,0.467741936,0.467741936,0.483870953,0.516129017,0.387096763,0.370967746,0.532258093,0.419354826,0.467741936,0.483870953,0.483870953,0.370967746,0.516129017,0.467741936,0.387096763,0.516129017,0.54838711,0.564516127,0.483870953,0.483870953,0.5,0.483870953,0.483870953,0.467741936,0.59677422,0.516129017,0.483870953,0.59677422,0.419354826,0.516129017,0.467741936,0.516129017,0.59677422,0.5,0.580645144,0.387096763,0.467741936,0.45161289,0.5,0.483870953,0.435483873,0.45161289,0.435483873,0.45161289,0.5,0.629032254,0.45161289,0.467741936,0.5,0.403225809,0.5,0.54838711,0.580645144,0.516129017,0.532258093,0.435483873,0.467741936,0.483870953,0.467741936,0.532258093,0.5,0.516129017,0.564516127,0.59677422,0.5,0.564516127,0.645161271
48,0.580645144,0.45161289,0.516129017,0.419354826,0.483870953,0.54838711,0.516129017,0.516129017,0.5,0.467741936,0.419354826,0.435483873,0.532258093,0.516129017,0.45161289,0.516129017,0.45161289,0.435483873,0.580645144,0.435483873,0.54838711,0.435483873,0.45161289,0.516129017,0.516129017,0.419354826,0.467741936,0.580645144,0.483870953,0.467741936,0.483870953,0.467741936,0.387096763,0.516129017,0.419354826,0.467741936,0.483870953,0.532258093,0.54838711,0.5,0.54838711,0.54838711,0.467741936,0.483870953,0.403225809,0.580645144,0.5,0.483870953,0.54838711,0.483870953,0.564516127,0.467741936,0.516129017,0.580645144,0.467741936,0.580645144,0.403225809,0.467741936,0.45161289,0.532258093,0.483870953,0.435483873,0.435483873,0.435483873,0.467741936,0.467741936,0.612903237,0.435483873,0.45161289,0.483870953,0.45161289,0.516129017,0.483870953,0.516129017,0.516129017,0.564516127,0.387096763,0.45161289,0.5,0.483870953,0.435483873,0.5,0.516129017,0.532258093,0.5,0.532258093,0.532258093,0.629032254
49,0.59677422,0.483870953,0.532258093,0.403225809,0.516129017,0.516129017,0.532258093,0.483870953,0.467741936,0.45161289,0.467741936,0.483870953,0.5,0.516129017,0.45161289,0.516129017,0.403225809,0.45161289,0.5,0.483870953,0.54838711,0.45161289,0.435483873,0.5,0.564516127,0.419354826,0.45161289,0.516129017,0.45161289,0.467741936,0.5,0.483870953,0.387096763,0.483870953,0.419354826,0.435483873,0.467741936,0.54838711,0.612903237,0.5,0.516129017,0.516129017,0.5,0.467741936,0.45161289,0.580645144,0.483870953,0.467741936,0.612903237,0.483870953,0.580645144,0.467741936,0.516129017,0.59677422,0.467741936,0.564516127,0.419354826,0.483870953,0.467741936,0.532258093,0.45161289,0.419354826,0.419354826,0.435483873,0.467741936,0.516129017,0.645161271,0.435483873,0.5,0.467741936,0.467741936,0.532258093,0.5,0.54838711,0.435483873,0.532258093,0.419354826,0.419354826,0.5,0.467741936,0.45161289,0.45161289,0.483870953,0.516129017,0.483870953,0.5,0.5,0.612903237
50,0.564516127,0.467741936,0.532258093,0.419354826,0.516129017,0.516129017,0.532258093,0.516129017,0.435483873,0.467741936,0.467741936,0.5,0.532258093,0.532258093,0.45161289,0.516129017,0.435483873,0.467741936,0.532258093,0.516129017,0.516129017,0.435483873,0.45161289,0.467741936,0.532258093,0.419354826,0.5,0.483870953,0.435483873,0.467741936,0.467741936,0.483870953,0.370967746,0.45161289,0.467741936,0.467741936,0.483870953,0.532258093,0.612903237,0.435483873,0.516129017,0.483870953,0.467741936,0.403225809,0.516129017,0.564516127,0.483870953,0.483870953,0.564516127,0.5,0.516129017,0.467741936,0.532258093,0.580645144,0.45161289,0.532258093,0.435483873,0.483870953,0.45161289,0.532258093,0.483870953,0.483870953,0.435483873,0.419354826,0.483870953,0.516129017,0.629032254,0.387096763,0.54838711,0.483870953,0.45161289,0.483870953,0.483870953,0.564516127,0.516129017,0.54838711,0.403225809,0.483870953,0.564516127,0.483870953,0.483870953,0.45161289,0.5,0.54838711,0.532258093,0.5,0.516129017,0.629032254
51,0.629032254,0.5,0.59677422,0.403225809,0.532258093,0.532258093,0.532258093,0.5,0.45161289,0.483870953,0.5,0.5,0.516129017,0.467741936,0.45161289,0.564516127,0.403225809,0.467741936,0.5,0.532258093,0.54838711,0.467741936,0.403225809,0.532258093,0.516129017,0.435483873,0.54838711,0.45161289,0.5,0.467741936,0.5,0.467741936,0.387096763,0.467741936,0.435483873,0.419354826,0.435483873,0.516129017,0.580645144,0.483870953,0.54838711,0.467741936,0.483870953,0.370967746,0.532258093,0.580645144,0.5,0.483870953,0.59677422,0.467741936,0.564516127,0.516129017,0.516129017,0.629032254,0.467741936,0.532258093,0.419354826,0.5,0.467741936,0.54838711,0.516129017,0.45161289,0.435483873,0.435483873,0.516129017,0.532258093,0.612903237,0.387096763,0.54838711,0.516129017,0.467741936,0.5,0.54838711,0.5,0.5,0.532258093,0.403225809,0.483870953,0.54838711,0.516129017,0.467741936,0.5,0.532258093,0.516129017,0.532258093,0.45161289,0.54838711,0.59677422
52,0.59677422,0.467741936,0.532258093,0.403225809,0.532258093,0.516129017,0.54838711,0.54838711,0.403225809,0.516129017,0.467741936,0.5,0.532258093,0.5,0.403225809,0.532258093,0.45161289,0.45161289,0.5,0.532258093,0.467741936,0.435483873,0.419354826,0.483870953,0.5,0.419354826,0.54838711,0.467741936,0.483870953,0.5,0.516129017,0.467741936,0.370967746,0.532258093,0.403225809,0.419354826,0.483870953,0.483870953,0.564516127,0.5,0.532258093,0.516129017,0.467741936,0.435483873,0.45161289,0.580645144,0.483870953,0.483870953,0.54838711,0.45161289,0.645161271,0.483870953,0.5,0.59677422,0.45161289,0.564516127,0.435483873,0.467741936,0.483870953,0.532258093,0.419354826,0.403225809,0.45161289,0.467741936,0.516129017,0.516129017,0.645161271,0.387096763,0.467741936,0.483870953,0.483870953,0.516129017,0.532258093,0.532258093,0.516129017,0.5,0.435483873,0.467741936,0.54838711,0.483870953,0.45161289,0.483870953,0.516129017,0.516129017,0.483870953,0.483870953,0.516129017,0.612903237
53,0.580645144,0.5,0.54838711,0.403225809,0.54838711,0.516129017,0.580645144,0.516129017,0.435483873,0.483870953,0.435483873,0.467741936,0.516129017,0.5,0.435483873,0.5,0.419354826,0.5,0.467741936,0.483870953,0.59677422,0.403225809,0.467741936,0.483870953,0.516129017,0.45161289,0.516129017,0.516129017,0.483870953,0.483870953,0.483870953,0.5,0.387096763,0.5,0.419354826,0.45161289,0.5,0.45161289,0.467741936,0.516129017,0.516129017,0.516129017,0.45161289,0.45161289,0.483870953,0.580645144,0.467741936,0.516129017,0.54838711,0.45161289,0.54838711,0.483870953,0.516129017,0.516129017,0.467741936,0.516129017,0.403225809,0.467741936,0.467741936,0.532258093,0.435483873,0.403225809,0.435483873,0.435483873,0.483870953,0.516129017,0.59677422,0.370967746,0.564516127,0.516129017,0.5,0.532258093,0.54838711,0.532258093,0.516129017,0.5,0.435483873,0.435483873,0.54838711,0.467741936,0.5,0.45161289,0.5,0.532258093,0.5,0.467741936,0.5,0.612903237
54,0.564516127,0.483870953,0.564516127,0.387096763,0.516129017,0.54838711,0.54838711,0.532258093,0.483870953,0.483870953,0.45161289,0.5,0.5,0.467741936,0.45161289,0.532258093,0.403225809,0.467741936,0.5,0.516129017,0.580645144,0.419354826,0.370967746,0.516129017,0.54838711,0.45161289,0.435483873,0.483870953,0.435483873,0.467741936,0.5,0.483870953,0.370967746,0.516129017,0.45161289,0.45161289,0.483870953,0.516129017,0.467741936,0.5,0.5,0.5,0.45161289,0.419354826,0.435483873,0.580645144,0.5,0.5,0.5,0.435483873,0.532258093,0.45161289,0.516129017,0.516129017,0.483870953,0.564516127,0.435483873,0.45161289,0.483870953,0.54838711,0.467741936,0.419354826,0.419354826,0.435483873,0.467741936,0.5,0.59677422,0.387096763,0.45161289,0.5,0.5,0.516129017,0.5,0.5,0.516129017,0.580645144,0.45161289,0.45161289,0.580645144,0.45161289,0.467741936,0.5,0.5,0.54838711,0.5,0.435483873,0.516129017,0.59677422
55,0.580645144,0.54838711,0.5,0.387096763,0.516129017,0.54838711,0.532258093,0.532258093,0.467741936,0.467741936,0.467741936,0.483870953,0.532258093,0.467741936,0.45161289,0.5,0.387096763,0.435483873,0.435483873,0.5,0.580645144,0.435483873,0.483870953,0.483870953,0.516129017,0.435483873,0.467741936,0.483870953,0.483870953,0.5,0.467741936,0.45161289,0.370967746,0.54838711,0.467741936,0.467741936,0.483870953,0.54838711,0.467741936,0.483870953,0.516129017,0.483870953,0.467741936,0.467741936,0.467741936,0.59677422,0.483870953,0.467741936,0.532258093,0.419354826,0.532258093,0.532258093,0.483870953,0.516129017,0.467741936,0.564516127,0.419354826,0.45161289,0.483870953,0.54838711,0.483870953,0.467741936,0.45161289,0.435483873,0.483870953,0.5,0.59677422,0.387096763,0.580645144,0.516129017,0.516129017,0.564516127,0.516129017,0.516129017,0.483870953,0.54838711,0.467741936,0.435483873,0.54838711,0.467741936,0.483870953,0.5,0.5,0.54838711,0.516129017,0.419354826,0.532258093,0.612903237
