,5-SEQLEN-1-FUTLEN-13180\validation,5-SEQLEN-1-FUTLEN-13246\validation,5-SEQLEN-1-FUTLEN-13311\validation,5-SEQLEN-1-FUTLEN-13376\validation,5-SEQLEN-1-FUTLEN-13458\validation,5-SEQLEN-1-FUTLEN-13547\validation,5-SEQLEN-1-FUTLEN-13624\validation,5-SEQLEN-1-FUTLEN-13726\validation,5-SEQLEN-1-FUTLEN-13805\validation,5-SEQLEN-1-FUTLEN-13885\validation,5-SEQLEN-1-FUTLEN-13988\validation,5-SEQLEN-1-FUTLEN-14075\validation,5-SEQLEN-1-FUTLEN-14156\validation,5-SEQLEN-1-FUTLEN-14263\validation,5-SEQLEN-1-FUTLEN-14370\validation,5-SEQLEN-1-FUTLEN-14463\validation,5-SEQLEN-1-FUTLEN-14567\validation,5-SEQLEN-1-FUTLEN-14665\validation,5-SEQLEN-1-FUTLEN-14762\validation,5-SEQLEN-1-FUTLEN-14847\validation,5-SEQLEN-1-FUTLEN-14954\validation,5-SEQLEN-1-FUTLEN-15063\validation,5-SEQLEN-1-FUTLEN-15155\validation,5-SEQLEN-1-FUTLEN-15256\validation,5-SEQLEN-1-FUTLEN-15357\validation,5-SEQLEN-1-FUTLEN-15452\validation,5-SEQLEN-1-FUTLEN-15556\validation,5-SEQLEN-1-FUTLEN-15662\validation,5-SEQLEN-1-FUTLEN-15771\validation,5-SEQLEN-1-FUTLEN-15882\validation,5-SEQLEN-1-FUTLEN-15996\validation,5-SEQLEN-1-FUTLEN-16109\validation,5-SEQLEN-1-FUTLEN-16202\validation,5-SEQLEN-1-FUTLEN-16301\validation,5-SEQLEN-1-FUTLEN-16400\validation,5-SEQLEN-1-FUTLEN-16490\validation,5-SEQLEN-1-FUTLEN-16587\validation,5-SEQLEN-1-FUTLEN-16689\validation,5-SEQLEN-1-FUTLEN-16792\validation,5-SEQLEN-1-FUTLEN-16887\validation,5-SEQLEN-1-FUTLEN-16994\validation,5-SEQLEN-1-FUTLEN-17101\validation,5-SEQLEN-1-FUTLEN-17190\validation,5-SEQLEN-1-FUTLEN-17287\validation,5-SEQLEN-1-FUTLEN-17387\validation,5-SEQLEN-1-FUTLEN-17476\validation,5-SEQLEN-1-FUTLEN-17573\validation,5-SEQLEN-1-FUTLEN-17671\validation,5-SEQLEN-1-FUTLEN-17768\validation,5-SEQLEN-1-FUTLEN-17862\validation,5-SEQLEN-1-FUTLEN-17958\validation,5-SEQLEN-1-FUTLEN-18054\validation,5-SEQLEN-1-FUTLEN-18142\validation,5-SEQLEN-1-FUTLEN-18245\validation,5-SEQLEN-1-FUTLEN-18353\validation,5-SEQLEN-1-FUTLEN-18457\validation,5-SEQLEN-1-FUTLEN-18575\validation,5-SEQLEN-1-FUTLEN-18695\validation,5-SEQLEN-1-FUTLEN-18814\validation,5-SEQLEN-1-FUTLEN-18919\validation,5-SEQLEN-1-FUTLEN-19025\validation,5-SEQLEN-1-FUTLEN-19133\validation,5-SEQLEN-1-FUTLEN-19227\validation,5-SEQLEN-1-FUTLEN-19331\validation,5-SEQLEN-1-FUTLEN-19437\validation,5-SEQLEN-1-FUTLEN-19537\validation,5-SEQLEN-1-FUTLEN-19641\validation,5-SEQLEN-1-FUTLEN-19743\validation,5-SEQLEN-1-FUTLEN-19847\validation,5-SEQLEN-1-FUTLEN-19956\validation,5-SEQLEN-1-FUTLEN-20070\validation,5-SEQLEN-1-FUTLEN-20183\validation,5-SEQLEN-1-FUTLEN-20282\validation,5-SEQLEN-1-FUTLEN-20389\validation,5-SEQLEN-1-FUTLEN-20497\validation,5-SEQLEN-1-FUTLEN-20600\validation,5-SEQLEN-1-FUTLEN-20712\validation,5-SEQLEN-1-FUTLEN-20822\validation,5-SEQLEN-1-FUTLEN-20932\validation,5-SEQLEN-1-FUTLEN-21046\validation,5-SEQLEN-1-FUTLEN-21165\validation,5-SEQLEN-1-FUTLEN-21283\validation,5-SEQLEN-1-FUTLEN-21386\validation,5-SEQLEN-1-FUTLEN-21480\validation,5-SEQLEN-1-FUTLEN-21575\validation,5-SEQLEN-1-FUTLEN-21663\validation,5-SEQLEN-1-FUTLEN-21771\validation,5-SEQLEN-1-FUTLEN-21889\validation
32,0.636363626,0.545454562,0.575757563,0.636363626,0.560606062,0.484848499,0.590909064,0.621212125,0.560606062,0.590909064,0.606060624,0.606060624,0.530303001,0.590909064,0.590909064,0.515151501,0.651515126,0.515151501,0.560606062,0.681818187,0.590909064,0.575757563,0.515151501,0.560606062,0.560606062,0.545454562,0.590909064,0.621212125,0.575757563,0.575757563,0.560606062,0.515151501,0.636363626,0.560606062,0.696969688,0.530303001,0.621212125,0.636363626,0.545454562,0.590909064,0.575757563,0.575757563,0.636363626,0.606060624,0.484848499,0.515151501,0.606060624,0.484848499,0.606060624,0.5,0.681818187,0.575757563,0.469696969,0.636363626,0.545454562,0.606060624,0.606060624,0.515151501,0.651515126,0.409090906,0.575757563,0.5,0.636363626,0.560606062,0.560606062,0.530303001,0.666666687,0.606060624,0.681818187,0.621212125,0.621212125,0.5,0.560606062,0.545454562,0.545454562,0.606060624,0.606060624,0.651515126,0.590909064,0.590909064,0.666666687,0.5,0.424242437,0.606060624,0.575757563,0.636363626,0.545454562,0.621212125
33,0.621212125,0.575757563,0.575757563,0.636363626,0.545454562,0.515151501,0.575757563,0.621212125,0.560606062,0.606060624,0.575757563,0.560606062,0.515151501,0.560606062,0.590909064,0.545454562,0.636363626,0.560606062,0.606060624,0.696969688,0.545454562,0.545454562,0.515151501,0.545454562,0.545454562,0.545454562,0.560606062,0.621212125,0.621212125,0.575757563,0.575757563,0.5,0.621212125,0.590909064,0.712121189,0.530303001,0.590909064,0.560606062,0.636363626,0.590909064,0.621212125,0.636363626,0.666666687,0.590909064,0.5,0.515151501,0.651515126,0.484848499,0.545454562,0.454545468,0.681818187,0.575757563,0.530303001,0.606060624,0.515151501,0.606060624,0.606060624,0.484848499,0.666666687,0.454545468,0.575757563,0.530303001,0.666666687,0.560606062,0.590909064,0.530303001,0.636363626,0.621212125,0.727272749,0.636363626,0.590909064,0.5,0.560606062,0.545454562,0.5,0.606060624,0.590909064,0.651515126,0.560606062,0.560606062,0.636363626,0.515151501,0.393939406,0.575757563,0.560606062,0.590909064,0.575757563,0.590909064
34,0.621212125,0.515151501,0.590909064,0.621212125,0.515151501,0.5,0.636363626,0.636363626,0.530303001,0.575757563,0.575757563,0.560606062,0.484848499,0.575757563,0.590909064,0.575757563,0.636363626,0.560606062,0.590909064,0.712121189,0.590909064,0.575757563,0.545454562,0.530303001,0.545454562,0.575757563,0.606060624,0.621212125,0.621212125,0.590909064,0.560606062,0.484848499,0.621212125,0.560606062,0.727272749,0.575757563,0.575757563,0.590909064,0.575757563,0.590909064,0.636363626,0.606060624,0.681818187,0.606060624,0.5,0.530303001,0.636363626,0.590909064,0.575757563,0.439393938,0.712121189,0.575757563,0.545454562,0.575757563,0.590909064,0.590909064,0.621212125,0.5,0.636363626,0.424242437,0.590909064,0.530303001,0.666666687,0.515151501,0.545454562,0.515151501,0.651515126,0.651515126,0.727272749,0.606060624,0.636363626,0.5,0.560606062,0.530303001,0.545454562,0.560606062,0.590909064,0.666666687,0.575757563,0.560606062,0.636363626,0.5,0.439393938,0.575757563,0.590909064,0.606060624,0.575757563,0.590909064
35,0.590909064,0.530303001,0.560606062,0.651515126,0.590909064,0.454545468,0.606060624,0.636363626,0.530303001,0.621212125,0.621212125,0.575757563,0.530303001,0.575757563,0.560606062,0.590909064,0.636363626,0.515151501,0.606060624,0.681818187,0.621212125,0.530303001,0.515151501,0.530303001,0.515151501,0.545454562,0.575757563,0.590909064,0.651515126,0.575757563,0.545454562,0.5,0.621212125,0.545454562,0.727272749,0.515151501,0.575757563,0.590909064,0.590909064,0.590909064,0.636363626,0.606060624,0.666666687,0.590909064,0.530303001,0.606060624,0.621212125,0.621212125,0.590909064,0.5,0.696969688,0.575757563,0.5,0.560606062,0.560606062,0.621212125,0.606060624,0.530303001,0.636363626,0.424242437,0.590909064,0.545454562,0.651515126,0.515151501,0.560606062,0.515151501,0.666666687,0.575757563,0.712121189,0.590909064,0.621212125,0.454545468,0.590909064,0.575757563,0.515151501,0.575757563,0.560606062,0.621212125,0.590909064,0.560606062,0.727272749,0.5,0.439393938,0.606060624,0.575757563,0.621212125,0.560606062,0.621212125
36,0.636363626,0.5,0.545454562,0.651515126,0.560606062,0.484848499,0.590909064,0.651515126,0.545454562,0.621212125,0.621212125,0.575757563,0.515151501,0.575757563,0.590909064,0.545454562,0.651515126,0.530303001,0.621212125,0.681818187,0.621212125,0.545454562,0.5,0.545454562,0.545454562,0.5,0.590909064,0.575757563,0.621212125,0.606060624,0.545454562,0.5,0.636363626,0.575757563,0.727272749,0.590909064,0.606060624,0.606060624,0.666666687,0.560606062,0.636363626,0.621212125,0.666666687,0.606060624,0.530303001,0.575757563,0.636363626,0.575757563,0.575757563,0.454545468,0.696969688,0.621212125,0.469696969,0.560606062,0.575757563,0.636363626,0.606060624,0.560606062,0.621212125,0.439393938,0.575757563,0.515151501,0.636363626,0.545454562,0.621212125,0.484848499,0.681818187,0.606060624,0.727272749,0.575757563,0.636363626,0.484848499,0.575757563,0.590909064,0.530303001,0.560606062,0.560606062,0.606060624,0.606060624,0.560606062,0.651515126,0.530303001,0.469696969,0.636363626,0.636363626,0.606060624,0.590909064,0.606060624
37,0.621212125,0.5,0.560606062,0.651515126,0.575757563,0.515151501,0.575757563,0.666666687,0.575757563,0.575757563,0.636363626,0.590909064,0.545454562,0.590909064,0.575757563,0.515151501,0.651515126,0.530303001,0.575757563,0.681818187,0.636363626,0.560606062,0.5,0.560606062,0.545454562,0.575757563,0.575757563,0.590909064,0.636363626,0.606060624,0.560606062,0.530303001,0.636363626,0.575757563,0.696969688,0.515151501,0.606060624,0.560606062,0.560606062,0.575757563,0.621212125,0.636363626,0.666666687,0.636363626,0.484848499,0.590909064,0.651515126,0.560606062,0.575757563,0.454545468,0.712121189,0.606060624,0.469696969,0.621212125,0.530303001,0.590909064,0.636363626,0.5,0.636363626,0.409090906,0.606060624,0.530303001,0.606060624,0.560606062,0.575757563,0.469696969,0.681818187,0.590909064,0.696969688,0.590909064,0.621212125,0.5,0.545454562,0.560606062,0.530303001,0.590909064,0.530303001,0.590909064,0.560606062,0.575757563,0.681818187,0.484848499,0.454545468,0.606060624,0.621212125,0.636363626,0.575757563,0.575757563
38,0.606060624,0.484848499,0.545454562,0.636363626,0.560606062,0.5,0.606060624,0.666666687,0.530303001,0.606060624,0.590909064,0.606060624,0.545454562,0.575757563,0.590909064,0.530303001,0.621212125,0.515151501,0.575757563,0.666666687,0.606060624,0.545454562,0.5,0.530303001,0.530303001,0.560606062,0.560606062,0.575757563,0.621212125,0.590909064,0.590909064,0.515151501,0.636363626,0.621212125,0.696969688,0.515151501,0.590909064,0.545454562,0.560606062,0.590909064,0.621212125,0.636363626,0.636363626,0.621212125,0.5,0.590909064,0.651515126,0.545454562,0.560606062,0.484848499,0.636363626,0.590909064,0.484848499,0.575757563,0.545454562,0.636363626,0.621212125,0.515151501,0.590909064,0.424242437,0.590909064,0.545454562,0.651515126,0.515151501,0.590909064,0.5,0.666666687,0.606060624,0.712121189,0.606060624,0.621212125,0.484848499,0.560606062,0.575757563,0.560606062,0.575757563,0.560606062,0.606060624,0.545454562,0.560606062,0.666666687,0.484848499,0.469696969,0.606060624,0.621212125,0.636363626,0.560606062,0.575757563
39,0.606060624,0.5,0.560606062,0.621212125,0.545454562,0.484848499,0.606060624,0.636363626,0.515151501,0.590909064,0.606060624,0.606060624,0.590909064,0.545454562,0.560606062,0.545454562,0.636363626,0.484848499,0.560606062,0.651515126,0.606060624,0.530303001,0.5,0.530303001,0.484848499,0.530303001,0.530303001,0.560606062,0.636363626,0.590909064,0.606060624,0.515151501,0.621212125,0.590909064,0.696969688,0.575757563,0.560606062,0.606060624,0.545454562,0.590909064,0.621212125,0.590909064,0.636363626,0.590909064,0.5,0.590909064,0.621212125,0.560606062,0.545454562,0.469696969,0.696969688,0.606060624,0.484848499,0.636363626,0.545454562,0.560606062,0.606060624,0.515151501,0.621212125,0.439393938,0.606060624,0.545454562,0.636363626,0.530303001,0.590909064,0.530303001,0.651515126,0.621212125,0.712121189,0.606060624,0.606060624,0.469696969,0.545454562,0.606060624,0.545454562,0.560606062,0.560606062,0.621212125,0.515151501,0.560606062,0.681818187,0.5,0.5,0.590909064,0.621212125,0.575757563,0.575757563,0.590909064
40,0.636363626,0.484848499,0.530303001,0.621212125,0.575757563,0.5,0.590909064,0.651515126,0.560606062,0.590909064,0.651515126,0.575757563,0.590909064,0.575757563,0.636363626,0.545454562,0.636363626,0.469696969,0.575757563,0.666666687,0.606060624,0.545454562,0.5,0.545454562,0.530303001,0.515151501,0.530303001,0.606060624,0.606060624,0.590909064,0.590909064,0.545454562,0.606060624,0.606060624,0.696969688,0.545454562,0.590909064,0.575757563,0.590909064,0.575757563,0.606060624,0.590909064,0.651515126,0.590909064,0.484848499,0.560606062,0.636363626,0.575757563,0.545454562,0.484848499,0.712121189,0.621212125,0.469696969,0.651515126,0.590909064,0.621212125,0.621212125,0.515151501,0.575757563,0.424242437,0.606060624,0.560606062,0.636363626,0.5,0.590909064,0.515151501,0.651515126,0.621212125,0.696969688,0.575757563,0.590909064,0.469696969,0.575757563,0.590909064,0.545454562,0.575757563,0.606060624,0.606060624,0.575757563,0.575757563,0.696969688,0.5,0.454545468,0.590909064,0.590909064,0.590909064,0.590909064,0.606060624
41,0.590909064,0.454545468,0.545454562,0.636363626,0.575757563,0.5,0.636363626,0.666666687,0.545454562,0.560606062,0.621212125,0.575757563,0.621212125,0.560606062,0.621212125,0.575757563,0.666666687,0.5,0.575757563,0.621212125,0.590909064,0.560606062,0.469696969,0.530303001,0.560606062,0.530303001,0.545454562,0.606060624,0.606060624,0.590909064,0.606060624,0.575757563,0.636363626,0.530303001,0.696969688,0.590909064,0.606060624,0.636363626,0.681818187,0.590909064,0.636363626,0.590909064,0.651515126,0.606060624,0.484848499,0.590909064,0.621212125,0.545454562,0.545454562,0.469696969,0.696969688,0.606060624,0.484848499,0.575757563,0.590909064,0.606060624,0.606060624,0.515151501,0.560606062,0.439393938,0.590909064,0.545454562,0.651515126,0.530303001,0.636363626,0.530303001,0.696969688,0.621212125,0.712121189,0.590909064,0.606060624,0.469696969,0.530303001,0.590909064,0.560606062,0.575757563,0.575757563,0.621212125,0.560606062,0.621212125,0.651515126,0.515151501,0.409090906,0.681818187,0.651515126,0.545454562,0.575757563,0.606060624
42,0.575757563,0.484848499,0.530303001,0.651515126,0.545454562,0.484848499,0.575757563,0.636363626,0.560606062,0.590909064,0.636363626,0.545454562,0.530303001,0.560606062,0.621212125,0.575757563,0.651515126,0.515151501,0.575757563,0.621212125,0.590909064,0.560606062,0.515151501,0.560606062,0.560606062,0.515151501,0.545454562,0.606060624,0.590909064,0.560606062,0.590909064,0.530303001,0.575757563,0.575757563,0.681818187,0.575757563,0.606060624,0.621212125,0.636363626,0.545454562,0.621212125,0.606060624,0.681818187,0.606060624,0.484848499,0.560606062,0.621212125,0.575757563,0.560606062,0.484848499,0.666666687,0.590909064,0.484848499,0.590909064,0.590909064,0.590909064,0.666666687,0.530303001,0.621212125,0.424242437,0.606060624,0.560606062,0.666666687,0.530303001,0.651515126,0.575757563,0.666666687,0.636363626,0.712121189,0.590909064,0.651515126,0.515151501,0.515151501,0.560606062,0.590909064,0.575757563,0.575757563,0.590909064,0.560606062,0.606060624,0.666666687,0.515151501,0.484848499,0.651515126,0.590909064,0.590909064,0.560606062,0.575757563
43,0.636363626,0.469696969,0.530303001,0.636363626,0.560606062,0.484848499,0.575757563,0.621212125,0.606060624,0.575757563,0.621212125,0.560606062,0.590909064,0.545454562,0.590909064,0.560606062,0.606060624,0.530303001,0.606060624,0.606060624,0.560606062,0.545454562,0.575757563,0.560606062,0.545454562,0.530303001,0.545454562,0.575757563,0.606060624,0.590909064,0.621212125,0.5,0.575757563,0.636363626,0.696969688,0.575757563,0.606060624,0.606060624,0.590909064,0.515151501,0.606060624,0.545454562,0.666666687,0.606060624,0.484848499,0.560606062,0.651515126,0.545454562,0.530303001,0.454545468,0.712121189,0.590909064,0.5,0.560606062,0.590909064,0.621212125,0.636363626,0.515151501,0.636363626,0.454545468,0.590909064,0.545454562,0.681818187,0.530303001,0.666666687,0.545454562,0.681818187,0.636363626,0.712121189,0.590909064,0.606060624,0.515151501,0.545454562,0.560606062,0.575757563,0.575757563,0.621212125,0.651515126,0.560606062,0.606060624,0.636363626,0.5,0.469696969,0.651515126,0.636363626,0.575757563,0.545454562,0.606060624
44,0.621212125,0.454545468,0.575757563,0.621212125,0.545454562,0.484848499,0.590909064,0.621212125,0.560606062,0.590909064,0.606060624,0.590909064,0.621212125,0.575757563,0.590909064,0.575757563,0.606060624,0.530303001,0.606060624,0.666666687,0.575757563,0.530303001,0.560606062,0.575757563,0.560606062,0.560606062,0.560606062,0.621212125,0.651515126,0.560606062,0.590909064,0.545454562,0.590909064,0.575757563,0.681818187,0.590909064,0.606060624,0.590909064,0.590909064,0.575757563,0.575757563,0.606060624,0.651515126,0.590909064,0.469696969,0.560606062,0.651515126,0.5,0.545454562,0.469696969,0.681818187,0.590909064,0.454545468,0.545454562,0.606060624,0.636363626,0.636363626,0.530303001,0.666666687,0.469696969,0.590909064,0.530303001,0.666666687,0.5,0.651515126,0.575757563,0.696969688,0.666666687,0.666666687,0.590909064,0.606060624,0.5,0.530303001,0.575757563,0.575757563,0.545454562,0.545454562,0.636363626,0.560606062,0.606060624,0.712121189,0.515151501,0.5,0.621212125,0.651515126,0.606060624,0.545454562,0.590909064
45,0.636363626,0.439393938,0.560606062,0.636363626,0.545454562,0.484848499,0.545454562,0.666666687,0.606060624,0.575757563,0.575757563,0.590909064,0.575757563,0.590909064,0.590909064,0.590909064,0.651515126,0.545454562,0.606060624,0.636363626,0.560606062,0.560606062,0.515151501,0.515151501,0.575757563,0.515151501,0.560606062,0.590909064,0.606060624,0.575757563,0.575757563,0.545454562,0.621212125,0.560606062,0.696969688,0.606060624,0.606060624,0.621212125,0.590909064,0.560606062,0.590909064,0.590909064,0.636363626,0.575757563,0.484848499,0.545454562,0.621212125,0.530303001,0.530303001,0.469696969,0.712121189,0.590909064,0.454545468,0.560606062,0.636363626,0.636363626,0.681818187,0.590909064,0.636363626,0.484848499,0.590909064,0.560606062,0.666666687,0.515151501,0.636363626,0.545454562,0.666666687,0.606060624,0.666666687,0.606060624,0.590909064,0.515151501,0.560606062,0.590909064,0.560606062,0.530303001,0.575757563,0.696969688,0.560606062,0.606060624,0.681818187,0.484848499,0.515151501,0.636363626,0.636363626,0.560606062,0.530303001,0.651515126
46,0.621212125,0.5,0.515151501,0.621212125,0.545454562,0.5,0.560606062,0.651515126,0.545454562,0.590909064,0.590909064,0.590909064,0.606060624,0.560606062,0.606060624,0.590909064,0.666666687,0.560606062,0.606060624,0.621212125,0.560606062,0.606060624,0.530303001,0.590909064,0.545454562,0.545454562,0.530303001,0.621212125,0.575757563,0.575757563,0.575757563,0.530303001,0.621212125,0.575757563,0.696969688,0.590909064,0.606060624,0.606060624,0.621212125,0.606060624,0.590909064,0.590909064,0.636363626,0.575757563,0.484848499,0.575757563,0.621212125,0.515151501,0.545454562,0.454545468,0.712121189,0.590909064,0.484848499,0.530303001,0.636363626,0.651515126,0.666666687,0.590909064,0.606060624,0.454545468,0.590909064,0.530303001,0.636363626,0.5,0.636363626,0.530303001,0.666666687,0.651515126,0.696969688,0.575757563,0.575757563,0.515151501,0.545454562,0.560606062,0.606060624,0.530303001,0.545454562,0.575757563,0.560606062,0.606060624,0.712121189,0.484848499,0.5,0.651515126,0.666666687,0.575757563,0.545454562,0.666666687
47,0.590909064,0.5,0.515151501,0.636363626,0.545454562,0.5,0.621212125,0.621212125,0.590909064,0.606060624,0.606060624,0.621212125,0.575757563,0.545454562,0.606060624,0.590909064,0.636363626,0.575757563,0.575757563,0.636363626,0.575757563,0.575757563,0.545454562,0.606060624,0.606060624,0.545454562,0.530303001,0.621212125,0.575757563,0.560606062,0.575757563,0.530303001,0.606060624,0.636363626,0.681818187,0.560606062,0.621212125,0.575757563,0.636363626,0.575757563,0.575757563,0.590909064,0.681818187,0.590909064,0.515151501,0.575757563,0.636363626,0.530303001,0.530303001,0.454545468,0.727272749,0.621212125,0.469696969,0.560606062,0.590909064,0.666666687,0.651515126,0.575757563,0.651515126,0.484848499,0.606060624,0.560606062,0.636363626,0.530303001,0.651515126,0.530303001,0.696969688,0.651515126,0.666666687,0.606060624,0.560606062,0.530303001,0.515151501,0.530303001,0.590909064,0.515151501,0.545454562,0.590909064,0.575757563,0.575757563,0.681818187,0.515151501,0.515151501,0.621212125,0.636363626,0.590909064,0.545454562,0.666666687
48,0.666666687,0.484848499,0.515151501,0.666666687,0.545454562,0.515151501,0.590909064,0.621212125,0.590909064,0.621212125,0.560606062,0.575757563,0.575757563,0.530303001,0.606060624,0.560606062,0.666666687,0.560606062,0.575757563,0.651515126,0.606060624,0.575757563,0.5,0.515151501,0.545454562,0.515151501,0.560606062,0.621212125,0.636363626,0.560606062,0.545454562,0.5,0.590909064,0.590909064,0.666666687,0.560606062,0.621212125,0.590909064,0.621212125,0.606060624,0.590909064,0.575757563,0.681818187,0.575757563,0.5,0.560606062,0.681818187,0.530303001,0.545454562,0.469696969,0.636363626,0.696969688,0.469696969,0.575757563,0.590909064,0.651515126,0.621212125,0.606060624,0.636363626,0.469696969,0.590909064,0.545454562,0.666666687,0.545454562,0.636363626,0.515151501,0.681818187,0.606060624,0.651515126,0.590909064,0.545454562,0.530303001,0.545454562,0.590909064,0.590909064,0.5,0.530303001,0.575757563,0.575757563,0.575757563,0.651515126,0.515151501,0.5,0.636363626,0.621212125,0.590909064,0.515151501,0.636363626
49,0.651515126,0.530303001,0.515151501,0.636363626,0.545454562,0.5,0.575757563,0.636363626,0.545454562,0.606060624,0.590909064,0.575757563,0.606060624,0.545454562,0.606060624,0.5,0.681818187,0.590909064,0.606060624,0.636363626,0.606060624,0.560606062,0.515151501,0.560606062,0.606060624,0.515151501,0.575757563,0.560606062,0.636363626,0.575757563,0.545454562,0.545454562,0.636363626,0.606060624,0.681818187,0.560606062,0.606060624,0.621212125,0.606060624,0.636363626,0.606060624,0.560606062,0.696969688,0.590909064,0.5,0.530303001,0.651515126,0.545454562,0.590909064,0.5,0.651515126,0.590909064,0.515151501,0.560606062,0.606060624,0.651515126,0.590909064,0.590909064,0.621212125,0.469696969,0.590909064,0.545454562,0.696969688,0.530303001,0.651515126,0.515151501,0.666666687,0.621212125,0.651515126,0.575757563,0.606060624,0.515151501,0.545454562,0.575757563,0.590909064,0.5,0.515151501,0.545454562,0.590909064,0.575757563,0.651515126,0.530303001,0.439393938,0.651515126,0.590909064,0.651515126,0.515151501,0.606060624
50,0.666666687,0.454545468,0.575757563,0.636363626,0.575757563,0.5,0.636363626,0.696969688,0.575757563,0.606060624,0.590909064,0.545454562,0.590909064,0.515151501,0.590909064,0.5,0.696969688,0.530303001,0.606060624,0.636363626,0.621212125,0.590909064,0.5,0.545454562,0.590909064,0.5,0.530303001,0.560606062,0.666666687,0.590909064,0.560606062,0.5,0.606060624,0.636363626,0.666666687,0.590909064,0.560606062,0.575757563,0.606060624,0.636363626,0.590909064,0.575757563,0.696969688,0.590909064,0.469696969,0.560606062,0.651515126,0.530303001,0.560606062,0.5,0.696969688,0.606060624,0.5,0.575757563,0.621212125,0.651515126,0.621212125,0.575757563,0.666666687,0.469696969,0.575757563,0.560606062,0.696969688,0.530303001,0.636363626,0.515151501,0.681818187,0.621212125,0.621212125,0.575757563,0.590909064,0.5,0.530303001,0.590909064,0.575757563,0.530303001,0.545454562,0.590909064,0.621212125,0.560606062,0.651515126,0.530303001,0.484848499,0.651515126,0.606060624,0.621212125,0.545454562,0.621212125
51,0.651515126,0.393939406,0.515151501,0.606060624,0.530303001,0.5,0.590909064,0.666666687,0.545454562,0.575757563,0.590909064,0.515151501,0.575757563,0.575757563,0.621212125,0.469696969,0.696969688,0.545454562,0.606060624,0.621212125,0.590909064,0.575757563,0.5,0.545454562,0.560606062,0.515151501,0.560606062,0.590909064,0.621212125,0.575757563,0.560606062,0.515151501,0.606060624,0.621212125,0.666666687,0.590909064,0.590909064,0.575757563,0.651515126,0.651515126,0.575757563,0.545454562,0.681818187,0.575757563,0.484848499,0.560606062,0.651515126,0.530303001,0.575757563,0.484848499,0.681818187,0.606060624,0.469696969,0.621212125,0.651515126,0.636363626,0.621212125,0.590909064,0.651515126,0.469696969,0.575757563,0.545454562,0.681818187,0.515151501,0.636363626,0.530303001,0.681818187,0.636363626,0.636363626,0.575757563,0.590909064,0.454545468,0.5,0.575757563,0.606060624,0.530303001,0.560606062,0.575757563,0.590909064,0.545454562,0.651515126,0.5,0.424242437,0.666666687,0.575757563,0.621212125,0.515151501,0.621212125
52,0.651515126,0.454545468,0.5,0.666666687,0.545454562,0.515151501,0.621212125,0.636363626,0.575757563,0.590909064,0.560606062,0.515151501,0.590909064,0.560606062,0.636363626,0.575757563,0.681818187,0.530303001,0.606060624,0.636363626,0.606060624,0.590909064,0.5,0.530303001,0.575757563,0.5,0.606060624,0.545454562,0.636363626,0.621212125,0.545454562,0.515151501,0.575757563,0.651515126,0.666666687,0.575757563,0.651515126,0.560606062,0.666666687,0.621212125,0.575757563,0.575757563,0.696969688,0.575757563,0.5,0.590909064,0.636363626,0.545454562,0.560606062,0.484848499,0.696969688,0.590909064,0.484848499,0.606060624,0.590909064,0.606060624,0.651515126,0.575757563,0.696969688,0.515151501,0.575757563,0.530303001,0.696969688,0.530303001,0.651515126,0.530303001,0.681818187,0.636363626,0.636363626,0.560606062,0.621212125,0.454545468,0.515151501,0.606060624,0.606060624,0.5,0.545454562,0.530303001,0.590909064,0.545454562,0.651515126,0.515151501,0.454545468,0.666666687,0.590909064,0.606060624,0.560606062,0.606060624
53,0.666666687,0.454545468,0.575757563,0.651515126,0.545454562,0.5,0.636363626,0.636363626,0.560606062,0.575757563,0.606060624,0.575757563,0.575757563,0.530303001,0.590909064,0.560606062,0.681818187,0.530303001,0.590909064,0.651515126,0.606060624,0.575757563,0.530303001,0.5,0.560606062,0.484848499,0.530303001,0.560606062,0.666666687,0.606060624,0.590909064,0.515151501,0.590909064,0.651515126,0.681818187,0.606060624,0.636363626,0.560606062,0.621212125,0.606060624,0.590909064,0.560606062,0.666666687,0.575757563,0.5,0.590909064,0.651515126,0.5,0.545454562,0.5,0.681818187,0.621212125,0.515151501,0.636363626,0.606060624,0.575757563,0.636363626,0.545454562,0.666666687,0.515151501,0.606060624,0.484848499,0.651515126,0.545454562,0.666666687,0.515151501,0.712121189,0.621212125,0.651515126,0.575757563,0.621212125,0.484848499,0.515151501,0.560606062,0.606060624,0.515151501,0.560606062,0.545454562,0.575757563,0.575757563,0.651515126,0.5,0.439393938,0.666666687,0.590909064,0.651515126,0.545454562,0.621212125
